Year,Year_Level,LGA_KEY,LGA_DESC,INDICATOR_NUM_FULL,Numerator,Denominator,Indicator_Calc
2008,Year 3,20110,Alpine (S),11.2,139,143,97.2%
2008,Year 3,20260,Ararat (Rc),11.2,130,140,92.9%
2008,Year 3,20570,Ballarat (C),11.2,1108,1183,93.7%
2008,Year 3,20660,Banyule (C),11.2,1430,1471,97.2%
2008,Year 3,20740,Bass Coast (S),11.2,263,276,95.3%
2008,Year 3,20830,Baw Baw (S),11.2,512,530,96.6%
2008,Year 3,20910,Bayside (C),11.2,1321,1332,99.2%
2008,Year 3,21010,Benalla (Rc),11.2,139,143,97.2%
2008,Year 3,21110,Boroondara (C),11.2,2000,2031,98.5%
2008,Year 3,21180,Brimbank (C),11.2,2202,2358,93.4%
2008,Year 3,21270,Buloke (S),11.2,89,93,95.7%
2008,Year 3,21370,Campaspe (S),11.2,543,563,96.4%
2008,Year 3,21450,Cardinia (S),11.2,868,887,97.9%
2008,Year 3,21610,Casey (C),11.2,3406,3569,95.4%
2008,Year 3,21670,Central Goldfields (S),11.2,133,143,93.0%
2008,Year 3,21750,Colac-Otway (S),11.2,240,251,95.6%
2008,Year 3,21830,Corangamite (S),11.2,233,243,95.9%
2008,Year 3,21890,Darebin (C),11.2,1069,1131,94.5%
2008,Year 3,22110,East Gippsland (S),11.2,457,476,96.0%
2008,Year 3,22170,Frankston (C),11.2,1464,1536,95.3%
2008,Year 3,22250,Gannawarra (S),11.2,130,132,98.5%
2008,Year 3,22410,Glen Eira (C),11.2,1329,1384,96.0%
2008,Year 3,22490,Glenelg (S),11.2,252,266,94.7%
2008,Year 3,22490,Golden Plains (S),11.2,206,208,99.0%
2008,Year 3,22670,Greater Bendigo (C),11.2,1183,1236,95.7%
2008,Year 3,22310,Greater Dandenong (C),11.2,1457,1573,92.6%
2008,Year 3,22750,Greater Geelong (C),11.2,2446,2563,95.4%
2008,Year 3,22830,Greater Shepparton (C),11.2,828,879,94.2%
2008,Year 3,22910,Hepburn (S),11.2,149,151,98.7%
2008,Year 3,22980,Hindmarsh (S),11.2,75,77,97.4%
2008,Year 3,23110,Hobsons Bay (C),11.2,879,929,94.6%
2008,Year 3,23190,Horsham (Rc),11.2,244,254,96.1%
2008,Year 3,23270,Hume (C),11.2,2108,2270,92.9%
2008,Year 3,23350,Indigo (S),11.2,163,167,97.6%
2008,Year 3,23430,Kingston (C),11.2,1377,1414,97.4%
2008,Year 3,23670,Knox (C),11.2,1758,1822,96.5%
2008,Year 3,23810,Latrobe (C),11.2,915,967,94.6%
2008,Year 3,23940,Loddon (S),11.2,71,74,95.9%
2008,Year 3,24130,Macedon Ranges (S),11.2,574,592,97.0%
2008,Year 3,24210,Manningham (C),11.2,1104,1142,96.7%
2008,Year 3,24250,Mansfield (S),11.2,84,86,97.7%
2008,Year 3,24330,Maribyrnong (C),11.2,525,563,93.3%
2008,Year 3,24410,Maroondah (C),11.2,1131,1156,97.8%
2008,Year 3,24600,Melbourne (C),11.2,206,219,94.1%
2008,Year 3,24650,Melton (S),11.2,1185,1252,94.6%
2008,Year 3,24780,Mildura (Rc),11.2,688,725,94.9%
2008,Year 3,24850,Mitchell (S),11.2,470,488,96.3%
